,BBL,KBANK,SCB,TMB,CIMBT,PTT,PTTEP,TOP,THAI,SSP,ADVANC,AOT,INTUCH,TRUE,HANA,CPF,MCP,TU,SAWAD,THCOM,STA,SANKO,TKC,TKN,TPIPL,AP,LH,PF,QH,RATCH,FSS,MFC,TISCO,THAI,THREL,BEM,BGRIM,BTS,CGD,EA,BDMS,CHG,GMCO,HQ,KCE,ITD,SLP,SYNTEC,VNG,X1X
2019-01-01,4484105,15620334,1814343,18702006,1209639,11611627,5359109,14765291,4819954,10692618,18927656,14441483,19264251,15239397,4441380,11793462,19212656,8820812,17450583,3144470,15445288,15270748,13195633,11533587,10036269,6998674,1947322,3101472,1125959,12137908,17362685,1791702,1186735,4819954,10607409,10755805,6682345,14319153,12330100,10047139,7753503,8262358,6928664,19886155,6651080,8338831,15016755,14344581,18857736,12539918
2019-01-02,4482904,15621672,1813500,18713125,1209021,11610132,5351226,14753590,4817510,10696454,18929921,14453292,19257848,15229274,4440440,11793069,19214182,8817583,17458606,3143889,15439554,15276392,13192294,11529000,10035522,6994025,1944853,3105250,1124655,12139167,17361569,1795473,1189834,4817510,10602682,10759034,6678867,14307210,12331412,10044036,7752403,8269011,6929462,19885189,6647204,8339412,15014170,14340366,18855057,12538825
2019-01-03,4487669,15616932,1813705,18708893,1210206,11615063,5351792,14761392,4818913,10689195,18936476,14443512,19254419,15241272,4443193,11795874,19219624,8824318,17453915,3142143,15440927,15279247,13196283,11523365,10037753,6998515,1946449,3102292,1124505,12138265,17366302,1792633,1189096,4818913,10607803,10761130,6677011,14312561,12331967,10045920,7756808,8263193,6933445,19882087,6652353,8342915,15024132,14343849,18847785,12543439
2019-01-04,4484301,15624148,1812271,18708175,1210630,11620844,5350028,14761734,4816479,10698271,18931645,14441930,19259154,15231894,4444803,11785404,19215007,8822765,17460877,3141961,15434834,15276393,13197193,11530048,10034804,6999110,1947062,3105104,1124865,12135692,17359054,1794077,1188298,4816479,10608727,10762519,6677158,14312191,12332040,10055428,7751492,8265773,6931103,19883071,6651411,8344733,15007560,14344090,18855308,12551830
2019-01-07,4482113,15619473,1814246,18710685,1208100,11613448,5353444,14758496,4819727,10697330,18934125,14441759,19257012,15237915,4445139,11791274,19226690,8818990,17452327,3144457,15447126,15280083,13188436,11533339,10038474,6997489,1945292,3106013,1125732,12140298,17368519,1792456,1188321,4819727,10606009,10760393,6682054,14318659,12332852,10047008,7749528,8265298,6928997,19889104,6653452,8343875,15019162,14342781,18850234,12545428
2019-01-08,4482478,15621161,1812922,18700495,1209465,11609363,5350468,14763202,4824272,10695024,18923760,14443222,19259835,15228631,4445939,11798909,19211047,8820913,17453009,3140907,15445044,15283751,13189419,11527308,10034102,6993308,1945764,3104706,1124491,12138735,17367391,1795106,1189476,4824272,10613015,10757886,6678297,14318142,12325440,10048871,7750467,8263084,6928578,19884940,6652010,8340810,15014015,14343705,18855879,12546206
2019-01-09,4486343,15623217,1813931,18713964,1209143,11613244,5356307,14758868,4820783,10697053,18924578,14441371,19251516,15231765,4443877,11793630,19207441,8821839,17453085,3144059,15451724,15277178,13194344,11519781,10034433,6993685,1946455,3104780,1126648,12147550,17363704,1792649,1190765,4820783,10610103,10761318,6675684,14320209,12330504,10051341,7751585,8263239,6930235,19881768,6652517,8341593,15014813,14337515,18842765,12541934
2019-01-10,4485579,15619224,1812630,18704820,1209369,11609744,5352118,14762119,4818791,10688597,18929949,14439604,19256962,15240539,4443492,11791972,19219505,8824344,17456656,3140701,15449904,15280379,13193112,11522202,10030693,6997296,1945846,3106691,1124095,12137731,17364328,1792922,1189844,4818791,10606736,10756513,6681151,14316373,12335293,10045276,7752268,8265767,6935364,19877654,6652273,8347392,15014569,14344258,18846164,12544640
2019-01-11,4484036,15618953,1814758,18716968,1209768,11617985,5352827,14765617,4820424,10699899,18940581,14433505,19260879,15243792,4440403,11796257,19216097,8821434,17449782,3144626,15439504,15275569,13194887,11532549,10029041,6996407,1945335,3104721,1125311,12137614,17358310,1792776,1188651,4820424,10611451,10756579,6679287,14317664,12335470,10043813,7756203,8267638,6925793,19881572,6654600,8344546,15010249,14333770,18848713,12541733
2019-01-14,4488750,15618850,1816133,18703055,1210081,11615520,5351624,14762739,4819007,10692864,18929524,14442119,19255136,15232632,4444680,11794624,19222512,8825349,17457418,3146522,15441265,15279370,13191813,11527459,10036034,6996568,1948886,3106344,1123314,12139017,17355536,1792901,1189319,4819007,10601603,10758547,6676626,14313861,12329450,10041922,7756178,8262170,6927559,19882705,6646768,8344166,15009572,14344818,18847558,12545511
